P04972	PED00075
P12296	PED00009
P12296	PED00012
P12296	PED00015
P12296	PED00026
Q9IK91	PED00176
Q9IK91	PED00177
A0A1Z3GD08	PED00140
Q95V77	PED00166
P32597	PED00218
P0C1C6	PED00204
P09525-1	PED00007
P09525-1	PED00010
P04631	PED00063
O26309	PED00051
O26309	PED00052
P11233	PED00222
P32776	PED00085
P32776	PED00086
P32776	PED00087
P32776	PED00088
P32776	PED00092
P32776	PED00097
P32776	PED00098
P32776	PED00099
P32776	PED00100
P15516	PED00155
P21698	PED00099
P21698	PED00100
P12978	PED00097
P12978	PED00098
O00401	PED00181
P52292	PED00147
P52292	PED00148
