P03265	DP00003
P49913	DP00004
P03045	DP00005
P00004	DP00006
P27695	DP00007
Q64693	DP00008
P32774	DP00009
P0DMM9	DP00011
P13569	DP00012
P0DN86	DP00013
P61926	DP00015
P38936	DP00016
P49918	DP00017
P46527	DP00018
P11938	DP00020
P13551	DP00021
P14061	DP00023
P03129	DP00024
P14738	DP00025
P06179	DP00026
P26477	DP00027
Q13541	DP00028
Q07731	DP00029
P04150	DP00030
P13255	DP00031
P56206	DP00032
P10912	DP00033
P03661	DP00034
P22121	DP00036
P17096	DP00040
P07746	DP00041
P02315	DP00042
P02929	DP00043
P02259	DP00044
P02687	DP00047
P03406	DP00048
P70475	DP00049
P07805	DP00051
P27001	DP00053
P78356	DP00054
P10688	DP00055
P15340	DP00057
P11409	DP00060
P27694	DP00061
P19793	DP00062
P49799	DP00063
P03607	DP00064
O86488	DP00065
Q57733	DP00067
P60881	DP00068
P63027	DP00069
P37840	DP00070
P23441	DP00071
Q8WZ42	DP00072
P04818	DP00073
P03372	DP00074
P11387	DP00075
P06786	DP00076
P07248	DP00077
P01100	DP00078
Q92731	DP00079
P51123	DP00081
P39935	DP00082
P03069	DP00083
P61244	DP00084
Q04206	DP00085
P04637	DP00086
P68336	DP00087
P0ABI8	DP00088
P0ABJ1	DP00089
Q14722	DP00090
P27088	DP00091
Q08209	DP00092
P04177	DP00094
Q9HKT1	DP00096
P10922	DP00097
Q53654	DP00098
P50440	DP00099
P0A6H5	DP00100
P12493	DP00101
P10587	DP00102
P09372	DP00103
P32773	DP00104
P69924	DP00107
P07598	DP00108
P40881	DP00110
P27577	DP00111
P22239	DP00112
P31109	DP00113
P81455	DP00116
P60058	DP00117
P05059	DP00118
P10163	DP00119
P12957	DP00120
P15146	DP00122
P01730	DP00123
P63292	DP00125
P40357	DP00128
Q04207	DP00129
P22531	DP00130
P07221	DP00132
P03422	DP00133
Q06787	DP00134
P10961	DP00135
P15865	DP00136
P01050	DP00137
P12272	DP00138
P0A7L8	DP00140
O95405	DP00141
P14602	DP00142
Q9VAN6	DP00144
P0A7S3	DP00145
P0A7T7	DP00146
P0A7U3	DP00147
P03347	DP00148
P02547	DP00151
Q13426	DP00152
P01112	DP00153
P29353	DP00154
P32851	DP00155
P54725	DP00156
P0CL52	DP00157
P09803	DP00159
P77173	DP00161
O75324	DP00162
Q03768	DP00163
P05318	DP00164
P19429	DP00166
Q9NVS9	DP00168
P32882	DP00169
P04049	DP00171
O00273	DP00173
P16949	DP00174
Q9NQB0	DP00175
P42512	DP00176
Q9Y5B0	DP00177
P01094	DP00179
P19972	DP00180
P08775	DP00181
P03087	DP00182
P11473	DP00184
Q95V77	DP00186
P04273	DP00187
P12359	DP00188
P04324	DP00189
P38038	DP00190
P02668	DP00192
P02754	DP00193
P0AFZ3	DP00194
P02313	DP00195
P20810	DP00196
P0A707	DP00197
P33905	DP00198
P20963	DP00200
P02721	DP00201
P0A8H9	DP00202
Q82S91	DP00205
P17838	DP00206
P21513	DP00207
P10451	DP00214
P05221	DP00217
Q90623	DP00218
O60927	DP00219
P17810	DP00220
P07476	DP00221
P32499	DP00222
P14635	DP00223
Q05140	DP00225
Q9CXW3	DP00226
P07293	DP00228
P05455	DP00229
Q14449	DP00230
P14859	DP00231
P14448	DP00233
P02686	DP00236
P38398	DP00238
P31896	DP00239
P35611	DP00240
P35612	DP00241
P0AG63	DP00242
P23025	DP00243
P00514	DP00245
P21758	DP00246
P63315	DP00249
P01555	DP00250
O88339	DP00251
P0A877	DP00252
P26645	DP00253
P40316	DP00256
O31851	DP00257
P01106	DP00260
Q16665	DP00262
P04925	DP00265
Q24298	DP00269
P02699	DP00271
P04695	DP00273
Q12287	DP00277
P08050	DP00278
P08523	DP00279
Q04656	DP00282
P16009	DP00284
P10388	DP00285
Q32NN2	DP00286
P40337	DP00287
Q06253	DP00288
Q9QXT8	DP00291
P0C5S4	DP00292
P10415	DP00297
Q07817	DP00298
P0AE70	DP00299
P0ABQ4	DP00301
P02185	DP00303
P31751	DP00304
Q07108	DP00306
P51946	DP00307
P06132	DP00308
P00533	DP00309
P62495	DP00310
P24071	DP00311
Q9UJY5	DP00314
O43464	DP00315
O15350	DP00319
P05121	DP00320
Q9UM07	DP00321
P11309	DP00322
O75469	DP00323
P09651	DP00324
P01099	DP00325
O14832	DP00327
Q08605	DP00328
P02666	DP00329
P21815	DP00332
P27797	DP00333
Q00987	DP00334
Q64364	DP00335
P06968	DP00337
P16442	DP00339
P62965	DP00340
Q02248	DP00341
P09883	DP00342
Q9Y6Q9	DP00343
P62152	DP00344
P16535	DP00345
P07140	DP00346
P04972	DP00347
